epoch,fine_acc,loss
1,74.95626822157435,1.2364722845238003
2,76.93877551020408,0.8253391363859949
3,78.65889212827989,0.7556888205526716
4,78.07580174927114,0.7036457522787323
5,79.09620991253644,0.6884025514704509
6,86.88046647230321,0.48301020602192307
7,88.45481049562682,0.26885834371243095
8,89.30029154518951,0.18515347782221042
9,89.30029154518951,0.1270463580573068
10,90.11661807580175,0.09316109685818016
11,90.29154518950438,0.07313453406849002
12,90.02915451895043,0.05835504960690694
13,90.17492711370262,0.05285257766246313
14,90.0,0.04300010638932387
15,90.17492711370262,0.04075353644851559
16,90.43731778425656,0.03379561524148006
17,90.64139941690962,0.03220428724194542
18,90.49562682215743,0.032829605025227235
19,90.61224489795919,0.03091050484549242
20,90.37900874635568,0.025321495282225624
21,90.64139941690962,0.012337214139012866
22,90.49562682215743,0.009326792369475347
23,91.25364431486881,0.006751562439132795
24,90.99125364431487,0.004353896342330947
25,91.16618075801749,0.004056509695140928
